sess,Type,lr,bsize,DS,lossFunc,emb_dim,loss,X_nRMSE,Y_nRMSE,Z_nRMSE
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,5.0,0.05841745808720589,14.827825546264648,78.9975357055664,51.99556350708008
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,5.0,0.05460311099886894,13.875517845153809,73.42433166503906,49.44535827636719
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,5.0,0.056043971329927444,14.320347785949707,76.50825500488281,51.62506866455078
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,5.0,0.056160591542720795,14.398674964904785,76.76496124267578,51.87870788574219
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,50.0,0.059977248311042786,12.697319984436035,93.9655532836914,48.46514892578125
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,50.0,0.0500820130109787,13.200387001037598,75.15995788574219,49.42108917236328
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,50.0,0.06084448844194412,16.62454605102539,76.57759857177734,59.90054702758789
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,50.0,0.0589117594063282,15.885390281677246,70.304443359375,51.4574089050293
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,50.0,0.05584236979484558,14.297394752502441,57.89814758300781,45.59505844116211
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,50.0,0.05890636518597603,14.807567596435547,68.52340698242188,52.81044006347656
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,50.0,0.05851448327302933,14.9052152633667,77.1033706665039,52.234344482421875
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,50.0,0.05499174818396568,13.877927780151367,74.33036804199219,50.341796875
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,50.0,0.05521317943930626,14.208024978637695,74.30694580078125,51.34605407714844
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,50.0,0.05663329362869263,14.514785766601562,76.29676055908203,53.068782806396484
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,60.0,0.06373438239097595,14.155294418334961,94.17040252685547,51.38895034790039
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,60.0,0.04874933883547783,13.854751586914062,58.74720001220703,51.840728759765625
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,60.0,0.061101511120796204,16.54891014099121,74.95455169677734,59.945106506347656
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,60.0,0.05805414542555809,15.534729957580566,70.19425201416016,51.587310791015625
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,60.0,0.05734623223543167,14.890501976013184,58.5460319519043,46.17692184448242
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,60.0,0.05944019928574562,14.991848945617676,69.2837905883789,53.125244140625
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,60.0,0.0660189762711525,15.903316497802734,89.27487182617188,59.011165618896484
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,60.0,0.05457211285829544,13.907811164855957,73.18560028076172,49.845428466796875
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,60.0,0.05557427182793617,14.238981246948242,74.74993896484375,52.0577278137207
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,60.0,0.05702668055891991,14.575441360473633,76.89414978027344,53.05972671508789
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,70.0,0.06033363565802574,12.757734298706055,97.81442260742188,45.78432846069336
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,70.0,0.04808174446225166,13.506902694702148,62.89273452758789,49.881874084472656
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,70.0,0.061557888984680176,16.601938247680664,76.15584564208984,59.54208755493164
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,70.0,0.05963439866900444,15.436254501342773,77.21294403076172,52.57753372192383
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,70.0,0.05682222545146942,15.299336433410645,57.72896957397461,44.83610153198242
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,70.0,0.05972311273217201,14.877745628356934,70.02655029296875,52.95684051513672
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,70.0,0.058805081993341446,14.802356719970703,79.49529266357422,52.341800689697266
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,70.0,0.05517309159040451,13.914008140563965,75.10968017578125,50.0522575378418
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,70.0,0.05542697012424469,14.250454902648926,73.93122863769531,52.24534606933594
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,70.0,0.05621950328350067,14.443098068237305,75.65138244628906,53.14423370361328
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,80.0,0.060211293399333954,12.534810066223145,96.82367706298828,47.353023529052734
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,80.0,0.04983200505375862,13.678082466125488,62.53599548339844,52.84403991699219
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,80.0,0.06133144721388817,16.67954444885254,75.2564468383789,59.598304748535156
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,80.0,0.05848788097500801,15.601509094238281,71.66002655029297,51.37267303466797
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,80.0,0.057350367307662964,14.509026527404785,59.07471466064453,46.396217346191406
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,80.0,0.058873873203992844,14.806235313415527,68.30548858642578,53.08068084716797
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,80.0,0.05864276364445686,14.833524703979492,78.12187194824219,52.63407897949219
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,80.0,0.05492497980594635,14.080699920654297,72.75823211669922,50.27722930908203
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,80.0,0.0552995502948761,14.19953727722168,75.14722442626953,51.10708236694336
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,80.0,0.056644003838300705,14.496097564697266,76.6906967163086,52.89987564086914
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.027864251285791397,16.959930419921875,22.443561553955078,25.730072021484375
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.026091039180755615,15.51501178741455,15.546646118164062,14.30013370513916
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.031206278130412102,17.302940368652344,26.601673126220703,16.768430709838867
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.03219649940729141,15.986722946166992,22.03599739074707,14.522734642028809
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.040279071778059006,14.609939575195312,18.770606994628906,13.89815902709961
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.03077225759625435,16.11407470703125,21.10443878173828,15.96599006652832
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.031521692872047424,16.332168579101562,22.918561935424805,18.326858520507812
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.02933422476053238,15.306029319763184,19.142152786254883,17.004783630371094
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.029149338603019714,15.739880561828613,21.004301071166992,17.476598739624023
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.03352454677224159,15.96669864654541,21.102590560913086,17.763858795166016
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,20.0,0.028089525178074837,17.798627853393555,21.574264526367188,26.33881950378418
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,20.0,0.025931842625141144,15.554387092590332,15.366151809692383,14.472709655761719
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,20.0,0.03088889829814434,17.396408081054688,27.57766342163086,15.958240509033203
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,20.0,0.032554857432842255,16.193126678466797,21.699153900146484,15.013978004455566
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,20.0,0.039590347558259964,14.265761375427246,18.795757293701172,13.51777458190918
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,20.0,0.030889233574271202,16.2291202545166,21.037450790405273,15.946399688720703
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,20.0,0.03149549663066864,16.36286735534668,22.519296646118164,18.293184280395508
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,20.0,0.030043810606002808,15.932313919067383,19.36054039001465,18.08869743347168
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,20.0,0.029738416895270348,16.017301559448242,21.398107528686523,17.648855209350586
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,20.0,0.03321051597595215,15.758061408996582,20.990339279174805,17.15771484375
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,30.0,0.027941759675741196,17.65610694885254,21.293468475341797,26.671470642089844
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,30.0,0.02612125501036644,15.364691734313965,15.219329833984375,14.919898986816406
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,30.0,0.030933741480112076,17.478147506713867,27.621952056884766,16.23118782043457
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,30.0,0.032825566828250885,16.25349998474121,21.71411895751953,14.87198257446289
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,30.0,0.04156710207462311,14.954292297363281,18.89613151550293,14.922137260437012
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,30.0,0.030970498919487,16.26788902282715,21.289989471435547,16.101945877075195
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,30.0,0.03146911412477493,16.373096466064453,22.59032440185547,18.2426700592041
