sess,Type,lr,bsize,DS,lossFunc,loss,X_nRMSE,Y_nRMSE,Z_nRMSE
train,moBWHT,0.006,128.0,IWALQQ_AE_4th,MAE,0.028824612498283386,15.797929763793945,21.06285858154297,16.689741134643555
train,moBWHT,0.006,128.0,IWALQQ_AE_4th,MAE,0.03278234228491783,15.961338996887207,21.003883361816406,16.564504623413086
test,moBWHT,0.008,128.0,IWALQQ_AE_4th,MAE,0.027905303984880447,17.47786521911621,21.717761993408203,25.806730270385742
test,moBWHT,0.008,128.0,IWALQQ_AE_4th,MAE,0.026201166212558746,15.522418022155762,15.451583862304688,14.431500434875488
test,moBWHT,0.008,128.0,IWALQQ_AE_4th,MAE,0.03101130574941635,17.52945327758789,27.85186004638672,16.093900680541992
test,moBWHT,0.008,128.0,IWALQQ_AE_4th,MAE,0.032537005841732025,16.228675842285156,21.562997817993164,14.818225860595703
test,moBWHT,0.008,128.0,IWALQQ_AE_4th,MAE,0.0404091514647007,14.534756660461426,18.8316650390625,13.920804977416992
train,moBWHT,0.008,128.0,IWALQQ_AE_4th,MAE,0.030170496553182602,16.015628814697266,20.928556442260742,14.952367782592773
train,moBWHT,0.008,128.0,IWALQQ_AE_4th,MAE,0.03073212504386902,16.011072158813477,22.622982025146484,17.03438949584961
train,moBWHT,0.008,128.0,IWALQQ_AE_4th,MAE,0.029253557324409485,15.814372062683105,18.986492156982422,16.555133819580078
train,moBWHT,0.008,128.0,IWALQQ_AE_4th,MAE,0.028826439753174782,15.874002456665039,21.025684356689453,16.67625617980957
train,moBWHT,0.008,128.0,IWALQQ_AE_4th,MAE,0.03278195485472679,15.975753784179688,20.973529815673828,16.611900329589844
test,moBWHT,0.01,128.0,IWALQQ_AE_4th,MAE,0.028295133262872696,17.554401397705078,22.643980026245117,28.03166389465332
test,moBWHT,0.01,128.0,IWALQQ_AE_4th,MAE,0.026227084919810295,15.504831314086914,15.620041847229004,14.659880638122559
test,moBWHT,0.01,128.0,IWALQQ_AE_4th,MAE,0.031322918832302094,17.63116455078125,28.38435173034668,16.63765525817871
test,moBWHT,0.01,128.0,IWALQQ_AE_4th,MAE,0.03261454775929451,16.379472732543945,21.306232452392578,14.888745307922363
test,moBWHT,0.01,128.0,IWALQQ_AE_4th,MAE,0.03992670774459839,14.329530715942383,18.80695343017578,13.88650131225586
train,moBWHT,0.01,128.0,IWALQQ_AE_4th,MAE,0.030228741466999054,15.91936206817627,21.05031394958496,14.893640518188477
train,moBWHT,0.01,128.0,IWALQQ_AE_4th,MAE,0.030777182430028915,16.052600860595703,22.537578582763672,17.05518913269043
train,moBWHT,0.01,128.0,IWALQQ_AE_4th,MAE,0.029284099116921425,15.556832313537598,18.955873489379883,16.3637638092041
train,moBWHT,0.01,128.0,IWALQQ_AE_4th,MAE,0.02884741500020027,15.747047424316406,20.938005447387695,16.632793426513672
train,moBWHT,0.01,128.0,IWALQQ_AE_4th,MAE,0.032845813781023026,15.9947509765625,20.96095848083496,16.58864402770996
