sess,Type,lr,bsize,DS,lossFunc,emb_dim,weight_Decay,loss,X_nRMSE,Y_nRMSE,Z_nRMSE
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.001,0.060139067471027374,13.307904243469238,90.08949279785156,46.89784240722656
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.001,0.052332960069179535,13.656795501708984,88.25045776367188,47.50001907348633
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.001,0.06021228805184364,16.751380920410156,70.44288635253906,57.66415023803711
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.001,0.06060737743973732,16.53459358215332,65.76382446289062,59.303070068359375
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.001,0.0716661885380745,13.595040321350098,86.3259048461914,64.77116394042969
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.001,0.0576881468296051,14.963728904724121,64.11138916015625,51.549522399902344
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.001,0.058712128549814224,15.110818862915039,77.5831069946289,51.187461853027344
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.001,0.0612189844250679,14.73446273803711,85.61286926269531,54.91881561279297
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.001,0.05651138722896576,14.249236106872559,77.69918060302734,51.982765197753906
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,10.0,0.001,0.05870228260755539,14.761947631835938,78.63871765136719,54.961952209472656
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,20.0,0.001,0.06403243541717529,11.688760757446289,115.09373474121094,45.1259765625
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,20.0,0.001,0.05062589421868324,13.632761001586914,80.38834381103516,50.47744369506836
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,20.0,0.001,0.06487654894590378,17.016132354736328,91.75611114501953,63.81752014160156
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,20.0,0.001,0.05852493271231651,15.899779319763184,59.68367004394531,58.27289581298828
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,20.0,0.001,0.059190742671489716,18.293554306030273,52.257991790771484,48.9221305847168
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,20.0,0.001,0.058030061423778534,14.890817642211914,66.30467224121094,52.63993453979492
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,20.0,0.001,0.0582733154296875,14.833651542663574,76.81819152832031,51.9007682800293
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,20.0,0.001,0.06039956584572792,14.862773895263672,80.73888397216797,55.55075454711914
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,20.0,0.001,0.0576765276491642,14.617323875427246,76.11717224121094,54.308837890625
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,20.0,0.001,0.05581899359822273,14.139762878417969,77.72447204589844,51.179412841796875
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,30.0,0.001,0.059597447514534,12.184965133666992,84.93999481201172,52.121150970458984
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,30.0,0.001,0.04761194437742233,13.513938903808594,59.732154846191406,52.627864837646484
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,30.0,0.001,0.060238610953092575,16.383602142333984,69.90111541748047,59.511024475097656
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,30.0,0.001,0.06820109486579895,17.860788345336914,73.86381530761719,61.90873718261719
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,30.0,0.001,0.05937983840703964,19.519155502319336,47.4837760925293,51.01469039916992
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,30.0,0.001,0.0605730302631855,15.45870304107666,68.94903564453125,53.69544219970703
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,30.0,0.001,0.06010747700929642,15.280088424682617,76.77710723876953,54.72888946533203
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,30.0,0.001,0.054773908108472824,14.170663833618164,69.5036392211914,49.96236038208008
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,30.0,0.001,0.055153537541627884,14.391912460327148,69.64122009277344,52.50743865966797
train,angle,0.001,128.0,IWALQQ_AE_4th,MAE,30.0,0.001,0.05551835894584656,14.467394828796387,72.79367065429688,51.502445220947266
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,40.0,0.001,0.06096252426505089,12.8902006149292,91.25733184814453,49.484474182128906
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,40.0,0.001,0.05152281001210213,13.7335844039917,51.67561340332031,60.853065490722656
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,40.0,0.001,0.058429326862096786,16.208131790161133,68.3179702758789,57.08735656738281
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,40.0,0.001,0.07171859592199326,18.594558715820312,75.67428588867188,63.75360870361328
test,angle,0.001,128.0,IWALQQ_AE_4th,MAE,40.0,0.001,0.058967720717191696,16.85569953918457,52.68122100830078,51.0134391784668
